mess_id,origin,destination,departure_slot,connection_ready_slot,safe_energy_kwh,status
MESS01,STA01,IDC04,95,98,28.498161987754553,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC05,0,2,15.16982310847837,FEASIBLE
MESS01,STA01,IDC05,1,3,14.934490528277115,FEASIBLE
MESS01,STA01,IDC05,2,4,15.178939916040688,FEASIBLE
MESS01,STA01,IDC05,3,5,15.245497157969849,FEASIBLE
MESS01,STA01,IDC05,4,6,15.140222911826172,FEASIBLE
MESS01,STA01,IDC05,5,7,15.1761110754513,FEASIBLE
MESS01,STA01,IDC05,6,8,15.254392406635645,FEASIBLE
MESS01,STA01,IDC05,7,9,15.18430954360674,FEASIBLE
MESS01,STA01,IDC05,8,10,15.17575323592843,FEASIBLE
MESS01,STA01,IDC05,9,11,15.172119667029536,FEASIBLE
MESS01,STA01,IDC05,10,12,15.131546694620994,FEASIBLE
MESS01,STA01,IDC05,11,13,15.122167741597517,FEASIBLE
MESS01,STA01,IDC05,12,14,15.091130737775543,FEASIBLE
MESS01,STA01,IDC05,13,15,15.12970146232828,FEASIBLE
MESS01,STA01,IDC05,14,16,15.11333547155107,FEASIBLE
